amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta_x,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_ratio_new,alpha_y,beta_y,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,0.6428918832748203,1.4033325127471865,-0.6709135538601101,-0.628654812305268,0.525,0.675,0.675,0.725,0.7,64.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,0.6558526696832354,1.9479461223693242,-0.5233084651135779,-0.6113260214851628,0.55,0.7,0.825,0.3625,0.65,62.43749999999999
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,0.7670500313045991,2.136511974266296,-0.3995519604812243,-0.6851643237388392,0.45,0.825,0.9,0.1125,0.8,61.8125
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,0.5123145396744412,1.058937635444858,-1.1517462167644104,-0.5244791190937517,0.925,0.45,0.45,0.6,0.45,61.50000000000001
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,0.720170748065694,2.2326878401179435,-0.8701403013861676,-0.6651354531593243,0.375,0.775,0.95,0.2625,0.775,61.3125
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,0.6105963677855298,1.9356002993338626,0.058930008132858036,-0.638654199224973,0.7,0.625,0.8,0.0375,0.75,60.68750000000001
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,0.5907057360167013,1.4823189163303778,-0.7032670013842228,-0.5775353056826658,0.425,0.6,0.725,0.675,0.575,58.12499999999999
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,0.6588140924111546,1.0492181956638214,-0.9031485112696995,-0.6228148743648336,0.5,0.75,0.425,0.4125,0.675,55.187500000000014
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,0.506033792856343,0.8823672856740292,-0.13814828971984433,-0.5216277363571064,0.95,0.425,0.275,0.3125,0.425,53.5625
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,Moderate,0.6295638673940486,1.2427742828381663,-0.2553602322219029,-0.6300386275789805,0.475,0.65,0.55,0.1125,0.725,50.4375
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,0.45421759744448,1.0021209060069574,-1.1062561817591638,-0.4799695765530506,0.675,0.3,0.35,0.775,0.325,49.625
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,0.515929090043909,1.0424370640242517,-0.00999054292797826,-0.5075827906492687,0.575,0.475,0.375,0.55,0.375,48.62500000000001
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,0.5757832229309746,1.044247246769534,-0.7561362460587406,-0.5843084668271579,0.175,0.575,0.4,0.925,0.625,47.75
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,0.5271744954797936,1.1027805613096495,-0.8373033903991679,-0.543973295445682,0.225,0.5,0.5,0.7,0.525,44.99999999999999
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,0.5039385449952434,0.9670224468805207,-0.29128433276705235,-0.49693380039397095,0.35,0.375,0.3,0.8875,0.35,42.68749999999999
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,0.3810763124446223,1.108542203642428,-0.3743452402998813,-0.44924958069216625,0.3,0.275,0.525,0.825,0.275,41.5
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,0.5002135276134396,1.287625850481221,-0.5194867356750258,-0.5359472489527253,0.4,0.35,0.575,0.2625,0.5,41.1875
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,0.3094850860636157,0.6037045621612617,-0.4145492296984173,-0.29190165581976246,0.85,0.225,0.225,0.2,0.175,40.375
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,0.31376144744228607,0.35132685891305554,0.19952020581642418,-0.3279300468034889,0.725,0.25,0.175,0.4125,0.2,39.6875
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,0.5695116803476284,0.8228397060356651,0.22743216785403667,-0.5077387972331191,0.2,0.55,0.25,0.525,0.4,36.625
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,0.5056399407855051,1.079814822005478,-0.37616054274912547,-0.5551528631747543,0.275,0.4,0.475,0.175,0.55,35.87499999999999
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,0.4973905139164703,1.3269467869081755,-0.8885201186632882,-0.4615845475980329,0.325,0.325,0.625,0.15,0.3,35.62500000000001
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,0.25491756991082587,0.976881891376595,-0.26788826126320747,-0.3843998497440364,0.625,0.175,0.325,0.225,0.25,35.50000000000001
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,0.13013547208140233,0.19014978222412315,-0.13092537924676773,-0.2590274663155784,0.15,0.15,0.15,0.85,0.15,25.5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,0.11276521446332044,0.16037277482854959,-0.1484900861405708,-0.24924912682604805,0.1,0.125,0.125,0.95,0.125,24.125
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,0.02304086822999634,0.1216724356057066,-0.2720368553275991,-0.1987308010668628,0.125,0.025,0.075,0.975,0.05,21.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,0.09012508597951928,0.007307487060746765,0.09753844561377804,-0.19255187137233964,0.05,0.1,0.025,1.0,0.025,19.75
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,0.2559407515381556,0.46535130845734646,-0.5437629906907864,-0.37895930594528615,0.25,0.2,0.2,0.0375,0.225,19.3125
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,0.0863179565660338,0.11072220313752297,-0.2604521382803077,-0.2409096109943717,0.075,0.075,0.05,0.8,0.1,18.125
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,0.08627100198449705,0.14293092739318475,-0.11942932617060695,-0.23846652446975292,0.025,0.05,0.1,0.75,0.075,16.0
